Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666913811.665827,0,85006,0,GPS1_Frame,42.337000999999994,-71.0896685,9.2,327851.1478192534,4689308.924618399,19.0,T
1666913813.4811804,0,85007,0,GPS1_Frame,42.337003833333334,-71.08964616666667,9.0,327852.9954687322,4689309.194024171,19.0,T
1666913815.2964842,0,85008,0,GPS1_Frame,42.3370085,-71.08962483333333,8.9,327854.7657363187,4689309.669032613,19.0,T
1666913817.1099126,0,85009,0,GPS1_Frame,42.3370165,-71.08960233333333,8.8,327856.64121438976,4689310.511820879,19.0,T
1666913818.9269254,0,85011,0,GPS1_Frame,42.33702783333333,-71.08958016666666,8.8,327858.49832609517,4689311.725425718,19.0,T
1666913820.7419245,0,85012,0,GPS1_Frame,42.33704183333332,-71.089563,8.8,327859.950791836,4689313.245266185,19.0,T
1666913822.5563889,0,85013,0,GPS1_Frame,42.3370585,-71.0895515,8.9,327860.94368884445,4689315.072691644,19.0,T
1666913824.3717616,0,85014,0,GPS1_Frame,42.33708033333334,-71.08954466666667,8.9,327861.5662232173,4689317.483283448,19.0,T
1666913826.1873264,0,85015,0,GPS1_Frame,42.33710616666667,-71.08954616666666,8.8,327861.5131362616,4689320.354914909,19.0,T
1666913828.0055473,0,85016,0,GPS1_Frame,42.337134,-71.0895575,8.6,327860.6553952565,4689323.468537948,19.0,T
1666913829.8197844,0,85017,0,GPS1_Frame,42.33715733333334,-71.08957883333333,8.5,327858.9615343169,4689326.102714824,19.0,T
1666913832.4403105,0,85030,0,GPS1_Frame,42.33700783333334,-71.08962516666666,9.4,327854.7364557108,4689309.595679188,19.0,T
1666913834.2556534,0,85032,0,GPS1_Frame,42.33702266666666,-71.08959433333332,9.0,327857.3171162214,4689311.180386511,19.0,T
1666913836.0703619,0,85033,0,GPS1_Frame,42.33704383333334,-71.08957016666666,8.8,327859.3658280757,4689313.481859386,19.0,T
1666913837.8850386,0,85034,0,GPS1_Frame,42.33706900000001,-71.08955566666667,8.7,327860.6290715452,4689316.247071728,19.0,T
1666913839.6987798,0,85035,0,GPS1_Frame,42.33709616666667,-71.08955266666666,8.8,327860.9503522946,4689319.25764981,19.0,T
1666913841.5120986,0,85036,0,GPS1_Frame,42.33712466666666,-71.08956216666667,8.8,327860.2454682124,4689322.441589715,19.0,T
1666913843.3255513,0,85037,0,GPS1_Frame,42.33715016666667,-71.0895845,8.7,327858.4751350834,4689325.31838296,19.0,T
1666913845.138685,0,85038,0,GPS1_Frame,42.33716883333333,-71.08961633333334,8.7,327855.90350769146,4689327.455619633,19.0,T
1666913846.956622,0,85039,0,GPS1_Frame,42.337178333333334,-71.08965483333333,8.8,327852.7576404985,4689328.588465568,19.0,T
1666913848.7730565,0,85040,0,GPS1_Frame,42.337177833333335,-71.0896955,9.0,327849.4059870326,4689328.615275654,19.0,T
1666913850.5891893,0,85041,0,GPS1_Frame,42.337167666666666,-71.08973399999999,9.0,327846.2064533972,4689327.564291007,19.0,T
1666913852.4055974,0,85042,0,GPS1_Frame,42.337149333333336,-71.0897665,9.0,327843.4789376969,4689325.594313878,19.0,T
1666913854.2214146,0,85042,0,GPS1_Frame,42.33712533333334,-71.08978766666668,8.9,327841.669644268,4689322.972151521,19.0,T
1666913856.0384672,0,85043,0,GPS1_Frame,42.3370975,-71.08979716666666,9.0,327840.81103823346,4689319.900706064,19.0,T
1666913857.8511786,0,85044,0,GPS1_Frame,42.337069166666666,-71.08979533333333,9.2,327840.8847558048,4689316.750793356,19.0,T
1666913860.6720088,0,85058,0,GPS1_Frame,42.33718033333333,-71.08965583333334,9.3,327852.6807138863,4689328.812574854,19.0,T
1666913862.4865005,0,85059,0,GPS1_Frame,42.33718016666667,-71.08969266666666,9.4,327849.6457760605,4689328.868638301,19.0,T
1666913864.300982,0,85060,0,GPS1_Frame,42.337171500000004,-71.08972683333333,9.5,327846.80733393994,4689327.975443894,19.0,T
1666913866.1167996,0,85061,0,GPS1_Frame,42.33715416666667,-71.08975699999999,9.5,327844.2747772528,4689326.111784808,19.0,T
1666913867.9305367,0,85063,0,GPS1_Frame,42.33712983333333,-71.08978,9.5,327842.31353686773,4689323.456319969,19.0,T
1666913869.7440834,0,85064,0,GPS1_Frame,42.33710216666667,-71.0897925,9.5,327841.20823321515,4689320.40945546,19.0,T
